Date,Open,High,Low,Close,Adj Close,Volume
2022-08-05,149.639999,155.009995,149.020004,153.639999,151.087830,7170200
2022-08-08,153.589996,154.979996,153.149994,153.410004,150.861664,5966900
2022-08-09,155.940002,157.800003,154.600006,155.410004,152.828430,5842200
2022-08-10,156.000000,156.470001,152.929993,155.820007,153.231613,6145800
2022-08-11,158.110001,161.160004,157.619995,159.619995,156.968491,7888600
2022-08-12,158.250000,159.910004,157.139999,159.850006,157.194672,7244700
2022-08-15,155.179993,157.789993,153.440002,156.809998,154.205170,8975200
2022-08-16,157.410004,157.919998,155.820007,156.410004,153.811829,7218400
2022-08-17,156.630005,159.339996,155.509995,157.699997,155.080383,6741100
2022-08-18,157.149994,159.660004,157.089996,159.020004,157.799362,6477500
2022-08-19,158.460007,159.740005,157.619995,157.690002,156.479568,6834200
2022-08-22,156.690002,157.740005,154.419998,156.899994,155.695618,9147000
2022-08-23,159.100006,162.339996,158.710007,161.990005,160.746567,10354800
2022-08-24,161.660004,163.350006,160.669998,163.190002,161.937347,9468100
2022-08-25,163.919998,164.899994,162.610001,164.619995,163.356354,8050700
2022-08-26,164.179993,166.130005,162.460007,163.410004,162.155655,7765800
2022-08-29,163.889999,166.830002,163.639999,164.630005,163.366287,8462600
2022-08-30,162.320007,162.559998,158.759995,160.619995,159.387070,8814300
2022-08-31,157.610001,161.410004,156.149994,158.059998,156.846725,13582700
2022-09-01,156.479996,156.880005,153.229996,155.539993,154.346054,8244400
2022-09-02,158.240005,159.130005,156.720001,157.850006,156.638336,7526600
2022-09-06,159.889999,159.990005,155.710007,157.119995,155.913925,8550000
2022-09-07,154.059998,155.820007,152.619995,155.110001,153.919373,9442100
2022-09-08,155.589996,156.380005,153.380005,155.949997,154.752914,9232500
2022-09-09,158.410004,160.649994,157.529999,159.970001,158.742065,8261100
2022-09-12,162.809998,164.529999,161.250000,162.500000,161.252640,8920800
2022-09-13,161.410004,162.660004,158.740005,159.410004,158.186356,10308300
2022-09-14,160.940002,163.570007,160.350006,163.270004,162.016739,11160800
2022-09-15,160.679993,161.699997,159.580002,160.619995,159.387070,9665000
2022-09-16,160.520004,161.139999,155.610001,156.449997,155.249069,43741600
2022-09-19,152.929993,156.949997,152.800003,156.899994,155.695618,6813800
2022-09-20,156.039993,156.850006,154.339996,156.279999,155.080383,8955200
2022-09-21,158.309998,158.779999,154.949997,155.009995,153.820129,6877000
2022-09-22,157.600006,158.279999,154.740005,154.889999,153.701050,6981100
2022-09-23,149.750000,150.179993,143.660004,144.770004,143.658737,13919700
2022-09-26,143.570007,145.050003,140.889999,140.960007,139.877991,9444000
